Start to fetch stock prices history
1101_week: True, MACD 呈上升趨勢
1101_day: True, MACD 呈上升趨勢
1101_month: True, MACD 呈上升趨勢
1101_60m: False, MACD 趨勢不明
1101_30m: False, MACD 趨勢不明
1101_15m: True, MACD 呈上升趨勢
1102_week: True, MACD 呈上升趨勢
1102_day: True, MACD 呈上升趨勢
1102_month: True, MACD 呈上升趨勢
1102_60m: False, MACD 趨勢不明
1102_30m: False, MACD 趨勢不明
1102_15m: True, MACD 呈上升趨勢
1103_week: False, MACD 趨勢不明
1103_day: True, MACD 呈上升趨勢
1103_month: True, MACD 呈上升趨勢
1103_60m: True, MACD 呈上升趨勢
1103_30m: True, MACD 呈上升趨勢中回測
1103_15m: False, MACD 趨勢不明
1104_week: False, MACD 趨勢不明
1104_day: True, MACD 呈上升趨勢
1104_month: True, MACD 呈上升趨勢
1104_60m: False, MACD 趨勢不明
1104_30m: False, MACD 趨勢不明
1104_15m: True, MACD 呈上升趨勢中回測
1108_week: True, MACD 呈上升趨勢
1108_day: True, MACD 呈上升趨勢
1108_month: False, MACD 趨勢不明
1108_60m: True, MACD 呈上升趨勢
1108_30m: True, MACD 呈上升趨勢
1108_15m: True, MACD 呈上升趨勢
1109_week: True, MACD 呈上升趨勢
1109_day: True, MACD 呈上升趨勢
1109_month: True, MACD 呈上升趨勢
1109_60m: False, MACD 趨勢不明
1109_30m: False, MACD 趨勢不明
1109_15m: True, MACD 呈上升趨勢
1110_week: False, MACD 趨勢不明
1110_day: False, MACD 趨勢不明
1110_month: True, MACD 呈上升趨勢
1110_60m: False, MACD 趨勢不明
1110_30m: True, MACD 呈上升趨勢
1110_15m: True, MACD 呈上升趨勢
1201_week: False, MACD 趨勢不明
1201_day: True, MACD 呈上升趨勢
1201_month: False, MACD 趨勢不明
1201_60m: True, MACD 呈上升趨勢
1201_30m: False, MACD 趨勢不明
1201_15m: False, MACD 趨勢不明
1203_week: False, MACD 趨勢不明
1203_day: True, MACD 呈上升趨勢
1203_month: True, MACD 呈上升趨勢
1203_60m: True, MACD 呈上升趨勢中回測
1203_30m: True, MACD 呈上升趨勢中回測
1203_15m: True, MACD 呈上升趨勢中回測
1210_week: True, MACD 呈上升趨勢中回測
1210_day: True, MACD 呈上升趨勢
1210_month: True, MACD 呈上升趨勢
1210_60m: False, MACD 趨勢不明
1210_30m: False, MACD 趨勢不明
1210_15m: False, MACD 趨勢不明
1213_week: True, MACD 呈上升趨勢
1213_day: False, MACD 趨勢不明
1213_month: True, MACD 呈上升趨勢
1213_60m: True, MACD 呈上升趨勢
1213_30m: True, MACD 呈上升趨勢
1213_15m: True, MACD 呈上升趨勢
1215_week: False, MACD 趨勢不明
1215_day: False, MACD 趨勢不明
1215_month: False, MACD 趨勢不明
1215_60m: False, MACD 趨勢不明
1215_30m: False, MACD 趨勢不明
1215_15m: False, MACD 趨勢不明
1216_week: True, MACD 呈上升趨勢
1216_day: True, MACD 呈上升趨勢
1216_month: True, MACD 呈上升趨勢
1216_60m: False, MACD 趨勢不明
1216_30m: False, MACD 趨勢不明
1216_15m: False, MACD 趨勢不明
1217_week: True, MACD 呈上升趨勢
1217_day: False, MACD 趨勢不明
1217_month: True, MACD 呈上升趨勢
1217_60m: True, MACD 呈上升趨勢
1217_30m: False, MACD 趨勢不明
1217_15m: False, MACD 趨勢不明
1218_week: False, MACD 趨勢不明
1218_day: True, MACD 呈上升趨勢
1218_month: True, MACD 呈上升趨勢
1218_60m: False, MACD 趨勢不明
1218_30m: False, MACD 趨勢不明
1218_15m: False, MACD 趨勢不明
1219_week: False, MACD 趨勢不明
1219_day: True, MACD 呈上升趨勢
1219_month: True, MACD 呈上升趨勢
1219_60m: True, MACD 呈上升趨勢
1219_30m: False, MACD 趨勢不明
1219_15m: False, MACD 趨勢不明
1220_week: True, MACD 呈上升趨勢
1220_day: True, MACD 呈上升趨勢
1220_month: True, MACD 呈上升趨勢
1220_60m: True, MACD 呈上升趨勢
1220_30m: False, MACD 趨勢不明
1220_15m: True, MACD 呈上升趨勢
1225_week: False, MACD 趨勢不明
1225_day: True, MACD 呈上升趨勢
1225_month: True, MACD 呈上升趨勢
1225_60m: False, MACD 趨勢不明
1225_30m: True, MACD 呈上升趨勢中回測
1225_15m: True, MACD 呈上升趨勢
1227_week: False, MACD 趨勢不明
1227_day: True, MACD 呈上升趨勢
1227_month: True, MACD 呈上升趨勢
1227_60m: False, MACD 趨勢不明
1227_30m: False, MACD 趨勢不明
1227_15m: True, MACD 呈上升趨勢
1229_week: False, MACD 趨勢不明
1229_day: True, MACD 呈上升趨勢
1229_month: False, MACD 趨勢不明
1229_60m: True, MACD 呈上升趨勢
1229_30m: False, MACD 趨勢不明
1229_15m: True, MACD 呈上升趨勢
1231_week: False, MACD 趨勢不明
1231_day: True, MACD 呈上升趨勢
1231_month: True, MACD 呈上升趨勢
1231_60m: True, MACD 呈上升趨勢
1231_30m: True, MACD 呈上升趨勢
1231_15m: True, MACD 呈上升趨勢
1233_week: True, MACD 呈上升趨勢
1233_day: True, MACD 呈上升趨勢
1233_month: True, MACD 呈上升趨勢
1233_60m: False, MACD 趨勢不明
