日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"113/01/02","45,408","1,456,446","32.25","32.30","32.00","32.10","-0.20","41",
"113/01/03","45,074","1,441,839","32.05","32.10","31.90","31.95","-0.15","41",
"113/01/04","27,000","863,550","31.95","32.00","31.95","32.00","+0.05","20",
"113/01/05","29,356","940,392","32.25","32.25","32.00","32.15","+0.15","27",
"113/01/08","92,166","2,942,942","32.15","32.20","31.75","32.00","-0.15","70",
"113/01/09","56,200","1,785,926","32.00","32.00","31.65","31.75","-0.25","55",
"113/01/10","42,207","1,341,230","31.90","31.90","31.50","31.75"," 0.00","36",
"113/01/11","105,099","3,332,991","31.65","32.00","31.35","31.90","+0.15","68",
"113/01/12","96,100","3,084,060","32.00","32.75","31.90","32.20","+0.30","79",
"113/01/15","57,035","1,825,025","32.45","32.45","31.90","31.90","-0.30","40",
"113/01/16","69,399","2,217,145","32.25","32.25","31.80","31.95","+0.05","82",
"113/01/17","97,876","3,102,446","31.80","32.05","31.50","31.85","-0.10","107",
"113/01/18","75,002","2,388,512","32.00","32.00","31.80","31.85"," 0.00","44",
"113/01/19","66,386","2,113,610","31.70","31.95","31.70","31.90","+0.05","49",
"113/01/22","40,128","1,278,445","32.30","32.30","31.75","31.85","-0.05","36",
"113/01/23","84,081","2,685,942","32.00","32.05","31.85","31.90","+0.05","34",
"113/01/24","41,381","1,319,950","32.15","32.15","31.85","31.95","+0.05","34",
"113/01/25","126,230","4,063,240","32.00","32.45","32.00","32.25","+0.30","72",
"113/01/26","212,917","6,950,213","32.35","33.05","32.20","32.20","-0.05","178",
"113/01/29","40,145","1,297,473","32.50","32.65","32.15","32.40","+0.20","45",
"113/01/30","61,140","1,964,379","32.40","32.40","31.95","32.15","-0.25","62",
"113/01/31","38,320","1,228,504","32.35","32.35","31.95","32.00","-0.15","47",
"113/02/01","49,057","1,571,951","32.10","32.10","32.00","32.10","+0.10","42",
"113/02/02","111,223","3,580,151","32.40","32.40","32.00","32.15","+0.05","96",
"113/02/05","73,440","2,362,961","32.20","32.40","32.00","32.40","+0.25","60",
"113/02/15","156,821","5,093,015","32.40","32.70","32.40","32.40"," 0.00","118",
"113/02/16","183,390","6,026,175","32.45","33.15","32.45","32.95","+0.55","130",
"113/02/19","791,392","27,166,230","33.00","35.25","33.00","34.75","+1.80","602",
"113/02/20","475,846","16,540,555","34.75","35.65","34.30","34.55","-0.20","396",
"113/02/21","155,331","5,349,785","34.90","34.95","34.25","34.35","-0.20","148",
"113/02/22","288,622","9,858,896","34.60","34.80","33.75","33.75","-0.60","179",
"113/02/23","280,913","9,493,182","33.85","34.00","33.60","33.85","+0.10","167",
"113/02/26","415,063","14,393,635","33.90","35.20","33.70","34.80","+0.95","366",
"113/02/27","440,493","15,457,819","35.10","35.65","34.65","34.90","+0.10","296",
"113/02/29","527,665","18,488,338","34.75","35.45","34.75","34.75","-0.15","288",
"113/03/01","224,979","7,807,112","34.75","34.80","34.55","34.75"," 0.00","180",
"113/03/04","187,655","6,553,082","35.15","35.30","34.75","34.75"," 0.00","180",
"113/03/05","194,955","6,669,759","34.80","34.80","33.85","34.00","-0.75","204",
"113/03/06","121,000","4,092,000","34.00","34.00","33.70","33.70","-0.30","95",
"113/03/07","238,002","7,908,003","34.00","34.00","32.80","32.80","-0.90","202",
"113/03/08","427,030","14,499,555","32.80","35.00","32.80","34.05","+1.25","414",
"113/03/11","223,016","7,625,026","34.60","34.65","34.00","34.05"," 0.00","163",
"113/03/12","179,783","6,160,224","34.05","34.55","34.00","34.15","+0.10","131",
"113/03/13","320,647","10,910,264","34.00","34.30","33.60","34.10","-0.05","231",
"113/03/14","286,166","9,647,329","34.10","34.20","33.10","33.30","-0.80","216",
"113/03/15","118,562","3,929,858","33.25","33.50","32.90","33.20","-0.10","130",
"113/03/18","91,106","3,019,794","33.10","33.55","32.90","33.15","-0.05","83",
"113/03/19","149,881","4,954,471","33.15","33.20","32.80","32.95","-0.20","157",
"113/03/20","923,267","31,822,651","33.45","35.30","33.15","34.30","+1.35","660",
"113/03/21","800,343","28,074,702","34.90","35.30","34.80","35.00","+0.70","672",
"113/03/22","370,566","12,787,235","35.05","35.05","34.20","34.40","-0.60","339",
"113/03/25","2,276,096","83,975,534","34.50","37.80","34.50","37.80","+3.40","1,182",
"113/03/26","5,175,536","199,330,330","38.50","40.90","36.55","38.00","+0.20","3,638",
"113/03/27","2,216,460","85,904,528","38.10","39.50","37.60","38.75","+0.75","1,587",
"113/03/28","1,078,675","41,115,643","38.75","39.05","37.50","37.90","-0.85","846",
"113/03/29","867,388","32,531,568","38.25","38.95","36.85","37.00","-0.90","620",
"113/04/01","968,532","34,972,050","36.35","37.15","35.65","35.70","-1.30","635",
"113/04/02","446,018","16,137,272","36.15","36.80","35.70","35.95","+0.25","362",
"113/04/03","463,728","16,434,945","36.15","36.15","35.10","35.15","-0.80","353",
"113/04/08","318,349","11,201,280","35.20","35.50","34.80","35.50","+0.35","261",
"113/04/09","355,771","12,653,784","35.50","35.90","35.05","35.65","+0.15","269",
"113/04/10","233,306","8,343,385","35.60","36.05","35.60","35.70","+0.05","181",
"113/04/11","534,408","18,657,062","35.70","35.70","34.25","34.30","-1.40","480",
"113/04/12","321,741","11,101,606","34.35","34.90","34.15","34.15","-0.15","244",
"113/04/15","208,330","7,060,390","34.30","34.90","33.60","33.95","-0.20","235",
