Datetime,Open,High,Low,Close,Volume
2024-06-19 12:00:00,31.85,32.0,31.85,32.0,0.0
2024-06-19 13:00:00,31.9,31.95,31.7,31.9,88825.0
2024-06-20 09:00:00,31.9,32.35,31.9,31.9,0.0
2024-06-20 10:00:00,32.0,32.05,31.9,31.9,46198.0
2024-06-20 11:00:00,31.95,32.15,31.9,31.95,39019.0
2024-06-20 12:00:00,32.0,32.25,31.9,31.95,64462.0
2024-06-20 13:00:00,31.95,32.1,31.95,32.1,14144.0
2024-06-21 09:00:00,32.15,32.3,31.85,32.2,0.0
2024-06-21 10:00:00,32.05,32.3,31.9,32.25,134316.0
2024-06-21 11:00:00,32.1,32.15,31.9,31.9,37050.0
2024-06-21 12:00:00,31.95,32.2,31.9,32.15,84100.0
2024-06-21 13:00:00,32.15,32.25,32.05,32.2,37100.0
2024-06-24 09:00:00,32.25,32.25,31.9,32.15,0.0
2024-06-24 10:00:00,32.15,32.25,32.0,32.0,44000.0
2024-06-24 11:00:00,32.0,32.2,31.7,31.85,207638.0
2024-06-24 12:00:00,31.85,31.9,31.5,31.6,213280.0
2024-06-24 13:00:00,31.6,31.6,31.3,31.55,76617.0
2024-06-25 09:00:00,31.85,31.85,31.15,31.2,0.0
2024-06-25 10:00:00,31.2,31.5,31.2,31.2,48217.0
2024-06-25 11:00:00,31.3,31.35,31.25,31.35,63459.0
2024-06-25 12:00:00,31.35,31.85,31.25,31.5,97360.0
2024-06-25 13:00:00,31.6,31.7,31.55,31.7,17804.0
2024-06-26 09:00:00,31.8,32.0,31.7,32.0,0.0
2024-06-26 10:00:00,31.95,32.0,31.8,31.95,57062.0
2024-06-26 11:00:00,31.9,31.95,31.8,31.8,43614.0
2024-06-26 12:00:00,31.9,31.9,30.85,31.25,500187.0
2024-06-26 13:00:00,31.05,31.15,30.95,31.1,52299.0
2024-06-27 09:00:00,31.05,31.05,30.7,30.95,0.0
2024-06-27 10:00:00,30.9,30.95,30.8,30.9,27196.0
2024-06-27 11:00:00,30.9,31.0,30.75,30.85,44184.0
2024-06-27 12:00:00,30.85,30.95,30.85,30.85,16764.0
2024-06-27 13:00:00,30.9,30.9,30.75,30.8,24491.0
2024-06-28 09:00:00,30.9,31.7,30.9,31.1,5216.0
2024-06-28 10:00:00,31.1,31.35,31.1,31.35,81178.0
2024-06-28 11:00:00,31.3,31.55,31.2,31.25,121309.0
2024-06-28 12:00:00,31.3,31.45,31.2,31.45,34470.0
2024-06-28 13:00:00,31.25,31.4,31.25,31.25,24089.0
2024-07-01 09:00:00,31.2,31.55,31.2,31.35,0.0
2024-07-01 10:00:00,31.35,31.45,31.3,31.3,93688.0
2024-07-01 11:00:00,31.3,31.45,31.2,31.3,55308.0
2024-07-01 12:00:00,31.25,31.4,31.2,31.25,69052.0
2024-07-01 13:00:00,31.3,31.45,31.2,31.2,23561.0
2024-07-02 09:00:00,31.4,31.4,30.9,31.0,0.0
2024-07-02 10:00:00,31.05,31.2,31.0,31.0,214001.0
2024-07-02 11:00:00,31.05,31.05,31.0,31.0,27408.0
2024-07-02 12:00:00,31.0,31.2,31.0,31.0,99392.0
2024-07-02 13:00:00,31.05,31.05,30.95,31.0,31010.0
2024-07-03 09:00:00,31.05,31.5,31.05,31.35,127090.0
2024-07-03 10:00:00,31.35,31.4,31.15,31.15,48225.0
2024-07-03 11:00:00,31.15,31.25,31.1,31.15,52006.0
2024-07-03 12:00:00,31.15,31.3,31.0,31.0,82253.0
2024-07-03 13:00:00,31.0,31.6,30.0,31.6,671774.0
2024-07-04 09:00:00,32.4,34.8,32.3,34.8,1488601.0
2024-07-04 10:00:00,34.8,34.8,34.45,34.8,833071.0
2024-07-04 11:00:00,34.8,34.8,34.8,34.8,25314.0
2024-07-04 12:00:00,34.8,34.8,34.8,34.8,24514.0
2024-07-04 13:00:00,34.8,34.8,34.8,34.8,14650.0
2024-07-05 09:00:00,36.0,38.0,35.4,36.2,396483.0
2024-07-05 10:00:00,36.15,38.0,36.0,37.45,1343221.0
2024-07-05 11:00:00,37.4,37.45,37.1,37.3,415121.0
2024-07-05 12:00:00,37.3,37.35,36.9,36.95,338655.0
2024-07-05 13:00:00,37.0,37.3,36.8,37.0,327714.0
2024-07-08 09:00:00,37.3,38.5,36.5,37.1,0.0
2024-07-08 10:00:00,37.05,37.95,36.6,36.9,381539.0
2024-07-08 11:00:00,36.8,36.8,36.6,36.6,165740.0
2024-07-08 12:00:00,36.6,36.7,36.1,36.2,249463.0
2024-07-08 13:00:00,36.25,36.35,36.15,36.2,183627.0
2024-07-09 09:00:00,36.1,36.3,35.0,35.0,663927.0
2024-07-09 10:00:00,35.0,35.3,34.7,34.95,274163.0
2024-07-09 11:00:00,34.95,34.95,34.85,34.9,139593.0
2024-07-09 12:00:00,34.9,35.1,34.85,35.05,92248.0
2024-07-09 13:00:00,35.1,35.25,35.05,35.15,45729.0
2024-07-10 09:00:00,35.0,35.6,34.6,35.35,275483.0
2024-07-10 10:00:00,35.35,36.0,35.3,35.95,197064.0
2024-07-10 11:00:00,35.95,36.0,35.0,35.05,251749.0
2024-07-10 12:00:00,35.05,35.3,35.05,35.1,74639.0
2024-07-10 13:00:00,35.1,35.1,34.85,35.0,119680.0
2024-07-11 09:00:00,35.4,36.15,34.8,35.5,238145.0
2024-07-11 10:00:00,35.5,35.5,35.15,35.4,85063.0
2024-07-11 11:00:00,35.4,35.75,35.3,35.7,88680.0
2024-07-11 12:00:00,35.7,35.85,35.35,35.4,106874.0
2024-07-11 13:00:00,35.35,35.4,35.3,35.4,39123.0
2024-07-12 09:00:00,35.05,35.9,35.05,35.8,187764.0
2024-07-12 10:00:00,35.8,37.8,35.65,37.65,972432.0
2024-07-12 11:00:00,37.65,37.85,37.0,37.4,325669.0
2024-07-12 12:00:00,37.45,37.5,37.1,37.4,302066.0
2024-07-12 13:00:00,37.3,38.4,37.3,38.1,958876.0
2024-07-15 09:00:00,39.1,39.1,37.1,37.75,0.0
2024-07-15 10:00:00,37.65,38.2,37.2,37.25,292956.0
2024-07-15 11:00:00,37.4,37.5,37.3,37.45,81560.0
2024-07-15 12:00:00,37.4,37.4,36.8,36.8,230777.0
2024-07-15 13:00:00,37.0,37.35,37.0,37.25,134411.0
2024-07-16 09:00:00,37.3,38.4,37.25,37.75,493332.0
2024-07-16 10:00:00,37.75,38.0,37.55,37.6,133609.0
2024-07-16 11:00:00,37.6,37.75,37.05,37.1,164579.0
2024-07-16 12:00:00,37.1,37.7,37.0,37.5,180423.0
2024-07-16 13:00:00,37.6,37.65,37.1,37.3,105361.0
2024-07-17 09:00:00,37.4,38.05,37.05,37.6,383666.0
2024-07-17 10:00:00,37.6,37.6,37.2,37.2,72320.0
2024-07-17 11:00:00,37.25,37.4,37.05,37.05,151207.0
2024-07-17 12:00:00,37.05,37.3,36.95,37.1,113454.0
2024-07-17 13:00:00,37.1,37.45,37.05,37.3,64846.0
2024-07-18 09:00:00,37.15,37.8,36.5,37.4,281608.0
2024-07-18 10:00:00,37.35,37.4,36.9,37.3,124220.0
2024-07-18 11:00:00,37.2,37.25,37.05,37.25,43895.0
2024-07-18 12:00:00,37.25,38.45,37.05,37.75,433234.0
2024-07-18 13:00:00,37.75,37.8,37.45,37.7,120114.0
2024-07-19 09:00:00,38.25,38.25,37.25,37.65,291666.0
2024-07-19 10:00:00,37.65,37.95,37.35,37.8,194121.0
2024-07-19 11:00:00,37.8,37.95,37.6,37.7,113123.0
2024-07-19 12:00:00,37.7,37.75,37.55,37.65,88158.0
2024-07-19 13:00:00,37.55,37.75,37.55,37.65,118906.0
2024-07-22 09:00:00,37.5,37.6,35.2,36.15,0.0
