Datetime,Open,High,Low,Close,Volume
2019-09-16,62.8,62.8,61.0,61.7,406000.0
2019-09-23,62.0,63.9,60.0,61.0,1665418.0
2019-09-30,61.0,61.8,59.4,60.1,685307.0
2019-10-07,60.1,60.5,59.3,59.8,548653.0
2019-10-14,60.1,62.5,60.1,61.5,1501782.0
2019-10-21,61.5,62.8,60.8,61.7,956563.0
2019-10-28,62.1,62.5,60.7,62.5,1525466.0
2019-11-04,63.0,63.1,59.0,59.5,1711209.0
2019-11-11,59.1,59.4,50.0,50.5,4632088.0
2019-11-18,50.5,51.3,45.35,46.15,3959420.0
2019-11-25,46.15,48.7,45.1,46.35,4061536.0
2019-12-02,46.45,48.15,45.9,47.45,1854807.0
2019-12-09,47.6,49.35,46.85,48.25,1772550.0
2019-12-16,48.4,53.1,48.1,51.9,2436391.0
2019-12-23,51.8,52.5,50.2,52.0,1330578.0
2019-12-30,52.2,52.9,51.5,51.5,1008414.0
2020-01-06,51.0,52.6,48.05,51.6,1953242.0
2020-01-13,52.0,53.0,51.3,51.5,1400951.0
2020-01-20,51.7,52.8,51.6,51.9,466000.0
2020-01-27,51.9,51.9,45.9,46.95,1142272.0
2020-02-03,42.4,48.4,42.4,45.65,1444930.0
2020-02-10,43.0,47.25,43.0,46.5,813901.0
2020-02-17,46.6,51.9,45.5,51.0,2313922.0
2020-02-24,51.0,51.0,48.65,49.0,1152030.0
2020-03-02,47.05,52.7,47.05,51.2,2059378.0
2020-03-09,50.8,51.4,42.6,43.8,2920537.0
2020-03-16,44.0,44.0,34.4,37.55,2772321.0
2020-03-23,34.55,41.9,34.05,40.25,2026662.0
2020-03-30,39.8,46.5,39.4,45.1,3013502.0
2020-04-06,44.55,46.2,43.8,44.6,2139109.0
2020-04-13,44.6,50.3,44.0,50.3,3142219.0
2020-04-20,52.9,54.8,47.75,48.9,6533752.0
2020-04-27,50.4,56.0,50.0,54.1,7171860.0
2020-05-04,53.0,53.6,51.3,51.5,2313637.0
2020-05-11,52.8,52.8,49.55,50.9,1442794.0
2020-05-18,51.3,54.2,50.5,52.6,2327465.0
2020-05-25,53.5,62.8,53.0,57.9,14028787.0
2020-06-01,58.0,60.2,55.8,57.0,3911603.0
2020-06-08,58.0,58.0,54.0,58.0,3519584.0
2020-06-15,58.2,59.9,55.1,55.2,4895522.0
2020-06-22,55.5,55.8,53.2,54.0,1129401.0
2020-06-29,53.5,55.6,53.1,53.9,1064634.0
2020-07-06,54.7,56.7,52.0,52.6,2251721.0
2020-07-13,53.2,53.7,50.0,50.2,1100700.0
2020-07-20,50.5,52.0,49.6,49.95,1230930.0
2020-07-27,49.95,51.2,46.2,48.15,1653326.0
2020-08-03,48.15,49.1,47.1,47.95,762936.0
2020-08-10,48.8,53.8,48.8,50.5,3486993.0
2020-08-17,50.9,52.6,45.05,47.1,2015375.0
2020-08-24,47.1,49.5,46.25,48.55,1042457.0
2020-08-31,49.1,49.45,47.3,48.2,644409.0
2020-09-07,49.5,50.5,47.9,47.95,957560.0
2020-09-14,48.0,49.2,47.65,48.25,510500.0
2020-09-21,48.25,48.3,44.2,44.6,805530.0
2020-09-28,44.6,45.65,44.6,45.05,178200.0
2020-10-05,44.5,45.85,44.5,45.2,270500.0
2020-10-12,45.1,45.7,44.7,45.05,463239.0
2020-10-19,45.45,45.45,44.6,44.65,297110.0
2020-10-26,44.9,46.25,43.5,44.1,512000.0
2020-11-02,44.1,44.5,43.3,43.95,310199.0
2020-11-09,43.95,46.9,43.95,45.8,774251.0
2020-11-16,45.85,46.8,44.75,45.55,995809.0
2020-11-23,45.7,48.8,44.8,47.9,2373624.0
2020-11-30,48.7,55.0,47.7,53.7,6393567.0
2020-12-07,54.2,55.7,51.6,52.3,3927304.0
2020-12-14,52.3,57.5,50.5,55.4,9334101.0
2020-12-21,56.0,61.3,53.1,55.6,15256804.0
2020-12-28,56.0,56.4,54.0,55.3,2934152.0
2021-01-04,55.4,60.4,53.2,58.1,7499624.0
2021-01-11,59.1,61.2,55.5,58.4,6376519.0
2021-01-18,59.4,60.2,53.2,58.6,7158001.0
2021-01-25,58.7,66.5,57.1,59.2,27025843.0
2021-02-01,58.3,59.0,54.5,55.4,4826981.0
2021-02-08,55.4,55.4,55.4,55.4,0.0
2021-02-15,55.4,59.4,55.2,58.5,2332840.0
2021-02-22,59.5,64.7,59.0,59.8,5488802.0
2021-03-01,59.8,62.5,58.2,60.5,2728938.0
2021-03-08,60.9,63.5,60.2,61.7,4523591.0
2021-03-15,61.7,62.0,58.6,59.8,2718141.0
2021-03-22,59.9,60.3,58.2,58.5,1695644.0
2021-03-29,59.0,62.0,58.6,60.2,2405612.0
2021-04-05,60.2,62.9,60.2,62.2,4040291.0
2021-04-12,63.1,73.3,62.0,68.2,20859203.0
2021-04-19,69.1,69.2,60.2,62.1,6599460.0
2021-04-26,62.9,63.0,60.3,60.7,2754660.0
2021-05-03,60.7,60.7,54.3,56.7,3167107.0
2021-05-10,56.5,57.1,45.5,47.55,3230166.0
2021-05-17,43.2,49.0,43.2,48.7,1784172.0
2021-05-24,48.6,51.9,48.4,51.1,1282325.0
2021-05-31,51.3,54.4,50.3,51.3,1368010.0
2021-06-07,51.0,54.1,50.2,52.8,958009.0
2021-06-14,52.8,54.7,51.5,53.1,1001120.0
2021-06-21,53.1,56.5,52.7,54.6,2179490.0
2021-06-28,54.7,54.8,51.8,52.9,1240060.0
2021-07-05,52.9,53.4,51.8,53.1,1055023.0
2021-07-12,54.0,57.1,53.6,55.8,2287199.0
2021-07-19,55.8,57.8,54.0,57.7,1933177.0
2021-07-26,58.0,58.3,52.1,54.0,2139114.0
2021-08-02,54.3,54.7,52.8,53.0,836118.0
2021-08-09,53.1,53.9,50.6,51.3,1550147.0
2021-08-16,51.7,51.7,48.05,48.6,798021.0
2021-08-23,48.6,50.4,48.6,49.6,388000.0
2021-08-30,49.75,51.2,49.75,50.7,495190.0
2021-09-06,50.9,51.0,48.5,48.9,479000.0
2021-09-13,49.2,49.6,48.05,48.05,328000.0
2021-09-20,48.05,48.15,47.0,47.8,172120.0
2021-09-27,47.8,47.85,45.3,45.3,436482.0
2021-10-04,45.3,51.6,43.2,48.2,790000.0
2021-10-11,48.2,48.2,46.6,47.55,231000.0
2021-10-18,46.8,48.4,46.8,47.35,317100.0
2021-10-25,47.35,48.4,46.95,48.05,351625.0
2021-11-01,48.5,50.8,48.35,48.9,375231.0
2021-11-08,48.7,50.5,47.95,48.0,527069.0
2021-11-15,48.1,49.1,47.6,48.45,576500.0
2021-11-22,48.45,49.2,47.65,47.75,305030.0
2021-11-29,47.7,48.5,47.05,48.1,310132.0
2021-12-06,47.8,48.45,47.6,48.05,445150.0
2021-12-13,48.55,48.95,47.65,48.0,416600.0
2021-12-20,47.0,48.4,46.3,47.8,306000.0
2021-12-27,48.2,51.0,47.75,49.95,1107122.0
2022-01-03,50.1,50.9,48.7,49.15,766005.0
2022-01-10,49.2,49.2,46.9,47.2,452030.0
2022-01-17,47.2,47.4,46.0,46.05,348000.0
2022-01-24,45.85,46.2,45.0,45.2,265000.0
2022-01-31,45.2,45.2,45.2,45.2,0.0
2022-02-07,46.4,48.2,45.5,47.4,376002.0
2022-02-14,46.45,48.3,46.4,47.8,215000.0
2022-02-21,47.8,48.7,47.3,47.8,426301.0
2022-02-28,47.8,49.5,47.5,48.8,321153.0
2022-03-07,48.6,48.6,45.4,45.65,661092.0
2022-03-14,45.8,47.0,45.1,46.4,270010.0
2022-03-21,46.5,46.5,45.5,45.75,329005.0
2022-03-28,45.1,45.6,44.45,44.6,467101.0
2022-04-04,44.6,44.7,44.0,44.0,224021.0
2022-04-11,44.35,44.35,43.2,44.15,332070.0
2022-04-18,44.15,44.85,43.75,44.0,156002.0
2022-04-25,43.35,45.8,42.1,42.65,375100.0
